adcode,business,city,cityCode,city_level,corn_str,country,country_code,country_code_iso,country_code_iso2,direction,distance,district,formatted_address,lat,location,lon,poiRegions,pois,province,roads,sematic_description,street,street_number,town
110112,,北京市,131,2,"116.65,40.01",中国,0,CHN,CN,,,通州区,北京市通州区,40.01,"{'lat': 40.01000006910458, 'lng': 116.64999999999993}",116.65,"[{'direction_desc': '内', 'uid': '504d6113ddf50acd46572619', 'name': '格拉斯小镇', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],"格拉斯小镇内,方鲲别墅装饰设计西北417米",,,
110109,,北京市,131,2,"115.93,40.01",中国,0,CHN,CN,,,门头沟区,北京市门头沟区,40.01,"{'lat': 40.01000006910458, 'lng': 115.92999999999995}",115.93,"[{'direction_desc': '内', 'uid': 'd1469ee74ce04b6284330408', 'name': '京西十八潭', 'tag': '旅游景点;风景区', 'distance': '0'}]",[],北京市,[],京西十八潭内,,,
110115,,北京市,131,2,"116.40,39.51",中国,0,CHN,CN,,,大兴区,北京市大兴区榆南路,39.51,"{'lat': 39.510000100985366, 'lng': 116.39999999999993}",116.40,[],[],北京市,[],闸桥北183米,榆南路,,
110115,,北京市,131,2,"116.59,39.69",中国,0,CHN,CN,,,大兴区,北京市大兴区青采路,39.69,"{'lat': 39.69000009242914, 'lng': 116.58999999999993}",116.59,[],[],北京市,[],沁水营西南574米,青采路,,
110117,峪口,北京市,131,2,"117.02,40.19",中国,0,CHN,CN,附近,16,平谷区,北京市平谷区峪新大街4号,40.19,"{'lat': 40.19000005203301, 'lng': 117.01999999999992}",117.02,[],[],北京市,[],峪口工商所附近43米,峪新大街,4号,
110117,,北京市,131,2,"117.07,40.08",中国,0,CHN,CN,,,平谷区,北京市平谷区,40.08,"{'lng': 117.06999999999992, 'lat': 40.08000006276586}",117.07,[],[],北京市,[],普贤庄东北743米,,,
110105,,北京市,131,2,"116.51,40.03",中国,0,CHN,CN,东北,76,朝阳区,北京市朝阳区来广营东路99号,40.03,"{'lng': 116.50999999999993, 'lat': 40.03000006733478}",116.51,"[{'direction_desc': '内', 'uid': '6fddd7fd405d1e663517dc6e', 'name': '同达生态园', 'tag': '休闲娱乐;度假村', 'distance': '0'}]",[],北京市,[],同达生态园内,来广营东路,99号,
110113,,北京市,131,2,"116.82,40.26",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.26,"{'lng': 116.81999999999992, 'lat': 40.26000004475932}",116.82,[],[],北京市,[],北京市顺义顺建水泥制品厂南375米,,,
110105,双桥,北京市,131,2,"116.63,39.89",中国,0,CHN,CN,,,朝阳区,北京市朝阳区,39.89,"{'lng': 116.62999999999992, 'lat': 39.89000007898957}",116.63,[],[],北京市,[],怡乐西路1号院北486米,,,
110113,,北京市,131,2,"116.83,40.25",中国,0,CHN,CN,,,顺义区,北京市顺义区X013(中干渠路),40.25,"{'lng': 116.82999999999993, 'lat': 40.2500000458179}",116.83,[],[],北京市,[],胡桥花苑1区东715米,X013(中干渠路),,
110108,香山,北京市,131,2,"116.22,40.00",中国,0,CHN,CN,,,海淀区,北京市海淀区健康大道,40.00,"{'lng': 116.21999999999993, 'lat': 40.00000006997679}",116.22,"[{'direction_desc': '内', 'uid': '550fd5f9c8d53478931fc9c4', 'name': '北京植物园', 'tag': '旅游景点;植物园', 'distance': '0'}]",[],北京市,[],"北京植物园内,自然式栽植区东南56米",健康大道,,
110112,,北京市,131,2,"116.84,39.77",中国,0,CHN,CN,,,通州区,北京市通州区G103(京塘线),39.77,"{'lng': 116.83999999999993, 'lat': 39.77000008753129}",116.84,[],[],北京市,[],北京市京全锅炉厂北222米,G103(京塘线),,
110106,,北京市,131,2,"116.10,39.84",中国,0,CHN,CN,,,丰台区,北京市丰台区,39.84,"{'lng': 116.09999999999992, 'lat': 39.840000082718134}",116.10,[],[],北京市,[],,,,
110107,西山,北京市,131,2,"116.18,39.98",中国,0,CHN,CN,,,石景山区,北京市石景山区黑陈路,39.98,"{'lng': 116.17999999999995, 'lat': 39.980000071695436}",116.18,[],[],北京市,[],,黑陈路,,
110105,"双井,劲松,广渠门",北京市,131,2,"116.47,39.90",中国,0,CHN,CN,附近,43,朝阳区,北京市朝阳区东三环中路24号,39.90,"{'lng': 116.46999999999993, 'lat': 39.90000007821559}",116.47,"[{'direction_desc': '内', 'uid': '4ce10ce69a726adc441a327c', 'name': '双井东院', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],双井东院内,东三环中路,24号,
110106,云岗,北京市,131,2,"116.17,39.81",中国,0,CHN,CN,西,69,丰台区,北京市丰台区长青路89,39.81,"{'lng': 116.16999999999993, 'lat': 39.810000084839956}",116.17,"[{'direction_desc': '内', 'uid': '0523a1419b142560b23c813c', 'name': '南宫智苑', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],"南宫智苑内,A+天使成长乐园西179米",长青路,89,
110114,,北京市,131,2,"116.40,40.13",中国,0,CHN,CN,,,昌平区,北京市昌平区东沙路,40.13,"{'lng': 116.39999999999993, 'lat': 40.13000005799904}",116.40,[],[],北京市,[],东沙工业园东北88米,东沙路,,
110112,,北京市,131,2,"116.70,39.72",中国,0,CHN,CN,,,通州区,北京市通州区,39.72,"{'lng': 116.69999999999993, 'lat': 39.72000009066928}",116.70,[],[],北京市,[],西马坊村西412米,,,
110118,,北京市,131,2,"117.24,40.67",中国,0,CHN,CN,,,密云区,北京市密云区,40.67,"{'lng': 117.23999999999991, 'lat': 40.66999999729717}",117.24,[],[],北京市,[],小岭北605米,,,
110105,"三元桥,太阳宫,国展",北京市,131,2,"116.47,39.97",中国,0,CHN,CN,,,朝阳区,北京市朝阳区牛王庙西路,39.97,"{'lng': 116.46999999999993, 'lat': 39.97000007254172}",116.47,[],[],北京市,[],霄云里西北280米,牛王庙西路,,
