date,period,temp,hum,conditions
29/10/2018,9,14.6,0.2,Clear
29/10/2018,6,14.8,0.17,Clear
29/10/2018,3,12.3,0.18,Clear
28/10/2018,21,6.8,0.29,-
28/10/2018,18,4.8,0.49,-
28/10/2018,15,9.7,0.31,-
28/10/2018,6,16.5,0.27,Cloudy
28/10/2018,3,17,0.21,Cloudy
27/10/2018,21,13.3,0.27,-
27/10/2018,18,7.4,0.45,-
27/10/2018,15,14.9,0.21,-
27/10/2018,6,16.4,0.2,Cloudy
26/10/2018,18,8.8,0.23,-
26/10/2018,9,11.7,0.14,Clear
26/10/2018,6,11.6,0.17,Clear
26/10/2018,3,10.4,0.17,Clear
26/10/2018,0,9,0.2,Clear
25/10/2018,21,9,0.17,-
25/10/2018,18,10.8,0.16,-
25/10/2018,15,13.1,0.16,-
25/10/2018,12,12.8,0.67,Cloudy
25/10/2018,0,10.5,0.7,Cloudy
24/10/2018,21,7.3,0.87,haze
24/10/2018,18,8.6,0.77,haze
24/10/2018,15,8.8,0.75,haze
24/10/2018,12,11,0.62,Clear
24/10/2018,3,16.3,0.34,Clear
24/10/2018,0,9.4,0.58,Clear
23/10/2018,21,4.3,0.77,-
23/10/2018,12,13.4,0.32,Clear
23/10/2018,9,18,0.21,Clear
23/10/2018,6,19.3,0.17,Clear
23/10/2018,3,18.2,0.19,Clear
23/10/2018,0,10.6,0.42,Clear
22/10/2018,21,9.1,0.42,-
22/10/2018,3,14.6,0.57,Cloudy
22/10/2018,0,8.9,0.84,Cloudy
21/10/2018,18,6.8,0.92,mist
21/10/2018,15,8.3,0.86,haze
21/10/2018,3,14,0.53,Cloudy
20/10/2018,21,9.9,0.75,haze
20/10/2018,18,8.7,0.8,haze
20/10/2018,15,9,0.71,haze
20/10/2018,12,11.5,0.62,Cloudy
20/10/2018,6,18,0.27,Cloudy
20/10/2018,3,14.2,0.43,Cloudy
19/10/2018,21,4.9,0.86,haze
19/10/2018,18,5.2,0.85,haze
19/10/2018,15,6.9,0.76,haze
19/10/2018,12,11.1,0.53,Clear
19/10/2018,6,18.6,0.24,Cloudy
19/10/2018,3,15.3,0.33,Cloudy
18/10/2018,21,5.5,0.85,haze
18/10/2018,18,6.6,0.85,haze
18/10/2018,12,9.7,0.64,Cloudy
18/10/2018,9,16.4,0.36,Cloudy
18/10/2018,6,17.7,0.35,Cloudy
18/10/2018,0,8.4,0.61,Few clouds
17/10/2018,21,5.2,0.78,-
17/10/2018,18,4.9,0.86,haze
17/10/2018,15,6.6,0.75,-
17/10/2018,12,9.1,0.49,Clear
17/10/2018,6,17.8,0.16,Clear
17/10/2018,3,15,0.22,Cloudy
16/10/2018,18,8.7,0.92,mist
16/10/2018,15,9.5,0.89,mist
16/10/2018,12,12.5,0.78,Cloudy
16/10/2018,6,18.1,0.38,Cloudy
16/10/2018,3,16,0.54,Cloudy
16/10/2018,0,12.6,0.79,Overcast rain
15/10/2018,21,12.5,0.81,haze
15/10/2018,15,12.5,0.88,haze
15/10/2018,12,12.6,0.88,haze
15/10/2018,6,16.6,0.62,Overcast rain intermittent
15/10/2018,3,16.1,0.59,Overcast
15/10/2018,0,13.5,0.77,Overcast
14/10/2018,15,12.4,0.77,haze
14/10/2018,12,14.8,0.65,Cloudy
14/10/2018,6,19.7,0.43,Cloudy
14/10/2018,3,16.2,0.55,Cloudy
13/10/2018,21,8.6,0.89,mist
13/10/2018,15,10,0.81,haze
13/10/2018,12,13.1,0.64,Cloudy
13/10/2018,6,19.2,0.37,Cloudy
13/10/2018,3,15.4,0.43,Cloudy
12/10/2018,21,6.5,0.82,haze
12/10/2018,12,12.2,0.51,Cloudy
12/10/2018,9,18,0.3,Cloudy
12/10/2018,3,15.3,0.35,Cloudy
12/10/2018,0,7.7,0.69,Cloudy
11/10/2018,21,5,0.75,-
11/10/2018,12,12.5,0.35,Clear
11/10/2018,9,16.8,0.23,Clear
10/10/2018,21,7.7,0.41,-
10/10/2018,18,7.4,0.44,-
10/10/2018,12,9.8,0.41,Clear
10/10/2018,3,14.2,0.23,Cloudy
10/10/2018,0,9.6,0.35,Cloudy
09/10/2018,21,7.7,0.44,-
09/10/2018,12,11.6,0.23,Clear
09/10/2018,9,13.9,0.19,Few clouds
09/10/2018,3,13.6,0.23,Cloudy
08/10/2018,21,10.8,0.46,-
08/10/2018,18,12.6,0.44,-
08/10/2018,15,14.3,0.38,-
08/10/2018,12,13,0.48,Few clouds
08/10/2018,9,21.1,0.15,Few clouds
08/10/2018,6,21.5,0.14,Few clouds
08/10/2018,3,19.8,0.17,Clear
07/10/2018,15,11.1,0.45,-
07/10/2018,6,21.4,0.14,Clear
07/10/2018,0,14,0.28,Clear
06/10/2018,12,17.9,0.13,Clear
06/10/2018,6,20.8,0.13,Clear
06/10/2018,3,17.5,0.16,Few clouds
06/10/2018,0,15.4,0.19,Cloudy
05/10/2018,15,16.6,0.76,haze
05/10/2018,12,17,0.7,Cloudy
05/10/2018,6,23.9,0.4,Cloudy
05/10/2018,3,19.9,0.56,Cloudy
05/10/2018,0,15.2,0.86,Cloudy
04/10/2018,12,21.2,0.45,Cloudy
04/10/2018,9,24.8,0.35,Cloudy
04/10/2018,3,20.6,0.5,Cloudy
04/10/2018,0,15.3,0.63,Few clouds
03/10/2018,21,11.9,0.72,-
03/10/2018,18,11.4,0.75,-
03/10/2018,12,16.1,0.52,Clear
03/10/2018,6,25.9,0.18,Clear
03/10/2018,3,23.4,0.24,Clear
03/10/2018,0,17.9,0.43,Clear
02/10/2018,21,9.7,0.78,-
02/10/2018,18,10.9,0.8,-
02/10/2018,15,13.7,0.64,-
02/10/2018,6,24.9,0.21,Clear
02/10/2018,3,23.3,0.25,Clear
01/10/2018,12,21.8,0.25,Clear
01/10/2018,6,25.1,0.21,Clear
01/10/2018,3,23.1,0.26,Clear
01/10/2018,0,17.7,0.43,Few clouds
30/09/2018,21,14.5,0.51,-
30/09/2018,18,18.1,0.37,-
30/09/2018,15,15.4,0.46,-
30/09/2018,12,17.1,0.41,Cloudy
30/09/2018,9,19.1,0.31,Cloudy
30/09/2018,6,19.5,0.33,Cloudy
30/09/2018,0,15,0.42,Scattered clouds
